Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2017;27.283
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2016;26.286
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2015;25.538
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2023;12.335
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2022;11.396
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2021;10.712
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2020;10.113
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2019;10.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2018;9.509
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2017;9.028
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2016;8.696
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2015;8.489
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2023;32.323
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2022;30.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2021;28.501
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2020;27.179
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2019;27.243
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2018;25.905
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2017;24.777
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2016;24.044
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2015;23.560
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2023;18.414
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2022;17.235
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2021;16.250
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2020;15.363
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2019;15.345
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2018;14.561
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2017;13.846
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2016;13.360
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2015;13.052
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2023;15.750
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2019;13.650
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2017;11.550
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2015;10.850
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2023;14.619
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2022;13.476
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2021;12.609
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2020;11.811
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2019;11.741
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2018;11.094
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2017;10.505
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2016;10.088
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2015;9.841
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2023;38.309
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2022;35.541
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2021;33.550
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2020;31.741
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2019;31.811
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2018;30.224
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2017;28.830
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2016;27.892
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2015;27.311
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2023;12.386
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2022;11.569
